Artists	Album	Title	Genre
	Tous Les Matins Du Monde - Bande Originale Du Film		Classical Crossover
13th Floor Elevators	
13th Floor Elevators	The Psychedelic Sounds of the 13th Floor Elevators		Rock
AC/DC	
AC/DC	Back In Black		Hard Rock
Abigoba		Fragments of Human Words & Voices
Abigoba	Fragments of Human Words & Voices (Extanded Version)		Jazz
Ace Frehley	Kiss: Ace Frehley	New York Groove	rock
Adalberto Alvarez y Su Son			salsa
Adalberto Alvarez y Su Son	Grandes éxitos		Caribbean
Aerosmith	Draw the Line	Draw the Line	rock
Africando			salsa
Africando	Classic Titles: Africando (Very Best of)		World
Al Basile	
Alain Goraguer		Go-Go-Goraguer
Alain Goraguer	Go-Go-Goraguer		Rock
Alan Menken & Howard Ashman	Little Shop of Horrors		Soundtrack
Alan Vega		Ze Records Story 1979 / 2009
Alan Vega - Alan Vega	Just a Million Dreams	Creation	Pop
Albert Collins	John Lee Hooker ...	The Blues Alive	blues
Albert King	King of the Blues Guitar		blues
Albert King	King of the Blues Guitar (Deluxe Version)		Blues
Alceu Valença, Elba Ramalho, Geraldo Azevedo & Zé Ramalho	O Grande Encontro		Latino
Alceu Valença, Elba Ramalho, Geraldo Azevedo & Zé Ramalho	O Grande Encontro 1, 2 & 3
Aldorande	Aldorande		jazz
Aldorande - Aldorande	Aldorande	Petite Chérie	Jazz
Alemayehu Eshete	
Alemayehu Eshete	Ethiopiques, Vol. 22 (More Vintage!) [1972-1974]		World
Alex Acuña	Alphonso Johnson	Herman Jackson & Clarence McDonald	Jazz for Japan	jazz
Ali Mohammed Birra	Ethiopiques 28 - Great Oromo Music
Ali Mohammed Birra	Ethiopiques 28 - Great Oromo Music		World
Alice Cooper	Love It to Death		rock
Aliotta Haynes Jeremiah	Lake Shore Drive		Singer/Songwriter
Aliotta Haynes Jeremiah	Lake Shore Drive	Lake Shore Drive
Allen Toussaint	Southern Nights		Jazz
Allen Toussaint	Southern Nights	Southern Nights
Amadeus Quartet & Robert Cohen - Amadeus Quartet & Robert Cohen	Schubert: String Quintet in C, D.956	String Quintet in C Major, D. 956: 1. Allegro ma non troppo	Classical
Andrew Lloyd Webber	The Phantom of the Opera - At the Royal Albert Hall (Live)		Vocal
Anita Ward	Ring My Bell		R&B/Soul
Apple and the Three Oranges	Free and Easy		R&B/Soul
Art Blakey & The Jazz Messengers	Original Jazz Sound: Live at Club St. Germain (1958)		Jazz
Astrud Gilberto	The Astrud Gilberto Album		Jazz
Augie Rios, Johnny Desmond & Alan Dale - Augie Rios	Cocktail Cha Cha (feat. Mark Jeffrey and His Orchestra) [Mono Version] - EP	Dónde Esta Santa Claus? (feat. Mark Jeffrey and His Orchestra)	Pop
Avion Travel	Danson metropoli - Canzoni di Paolo Conte (Deluxe Version)		Pop
Babylon Zoo	The Boy With the X-Ray Eyes		Pop
Banda Ionica	Matri mia		World
Basil Poledouris	Conan the Barbarian (Conan le Barbare) [Original Motion Picture Soundtrack]		Soundtrack
Beat Assailant	Rhyme Space Continuum		Hip-Hop/Rap
Ben Harper	Welcome to the Cruel World		Alternative
Ben l'Oncle Soul	Ben l'Oncle Soul		R&B/Soul
Bernadette Seacrest and Her Provocateurs	The Filthy South Sessions		Jazz
Bernard Allison	Chills & Thrills		Blues
Bernard Lavilliers	Voleur De Feu		Pop
Beth Hart	Bang Bang Boom Boom		Rock
Bill Evans - Bill Evans	The Paris Concert, Edition 2 (Live)	Re: Person I Knew (Live)	Jazz
Billie Holiday	The Complete Decca Recordings		Jazz
Billy Idol	Vital Idol: Revitalized		Rock
Biréli Lagrène & Jaco Pastorius - Biréli Lagrène & Jaco Pastorius	Stuttgart Aria	Donna Lee	Jazz
Bix Beiderbecke & Paul Whiteman	The Chronological Classics 1928-1929		Jazz
Björn Skifs	Pinewood Rally		Pop
Blay Ambolley - Blay Ambolley	Ketan	Afrika Yie	African
Blues Power Band	Invasion		Rock
Blues Trottoir	Histoires courtes		Pop
Bo Weavil & Band	A Son of Pride		Blues
Bob Dylan			Rock
Bobby Timmons	This Here Is Bobby Timmons / Easy Does It		Jazz
Boston - Boston	Boston	More Than a Feeling	Rock
Boston Symphony Orchestra & Seiji Ozawa	Tchaikovsky: Swan Lake, Op. 20		Classical
Boston Symphony Orchestra & William Steinberg	R. Strauss: Also sprach Zarathustra, Op. 30 - Holst: The Planets, Op. 32		Classical
Bruno Lauzi	Ritornerai		Europe
Buddy Guy	Bring 'Em In / Skin Deep		Blues
Buddy Rich	Birdland (Live)		Jazz
Buena Vista Social Club	Buena Vista Social Club		World
Cab Calloway	Moon Rays		Jazz
Cage the Elephant	Unpeeled		Alternative
Calvin Harris	I Created Disco		Dance
Calvin Russell	Soldier		Rock
Camille & Julie Berthollet	Camille & Julie Berthollet		Classical
Camille Berthollet, Julie Berthollet, Orchestre d'Auvergne & Roberto Forés Veses	Prodiges		Classical
Canailles	Manger du bois		Country
Carlo Maria Giulini & Philharmonia Orchestra	Fauré: Requiem, Dolly Suite & Pavane		Classical
Cat Stevens		Father and Son
Celia Cruz & Willie Colón	Fania Classics: Celia Cruz & Willie Colón		Salsa and Tropical
Charles Bradley	Black Velvet (feat. Menahan Street Band)		R&B/Soul
Charles Mingus	Paris 1964, Vol. 1 (Live)	Orange Was the Colour of Her Dress (Live)	Jazz
Charlie Parker	The Complete Savoy & Dial Master Takes		Jazz
Cheap Trick	Heaven Tonight	Surrender	rock
Christian McBride	Conversations With Christian		Jazz
Coleman Hawkins	Georgia on My Mind		Bop
Cory Henry - Cory Henry	First Steps	First Steps	Jazz
Counting Crows	August and Everything After		Rock
Creedence Clearwater Revival - Creedence Clearwater Revival	Bayou Country	Born On the Bayou	Rock
Curtis Mayfield	Curtis (Expanded Edition)		R&B/Soul
Daft Punk	Alive 2007 (Live) [Deluxe Edition]		Dance
Dan Auerbach	We Gotta Get Out of This Place - Single	We Gotta Get Out of This Place	Alternative
Daniel Johnston	Fun		Alternative
David Bowie	Low (2017 Remastered Version)		Pop
Dawn Landes	Meet Me at the River		Country
Debbie Reynolds	Memories		Easy Listening
Deep Purple	Made In Japan		Hard Rock
Depeche Mode			Rock
Derya Yıldırım & Grup Şimşek	Kar Yağar		Alternative
Dire Straits	On Every Street		Rock
Djamel Allam	Le chant des sources		Arabic
Django Reinhardt	Complete Jazz Series 1938 - 1939		Jazz
DjeuhDjoah & Lieutenant Nicholson	Remets t'es qui ?		French Pop
Doolin'	Doolin'		Celtic
Dr. Lonnie Smith - Dr. Lonnie Smith	Live at Club Mozambique	Seven Steps to Heaven (Live)	Jazz
Drugdealer - Drugdealer	Raw Honey	Fools	Indie Rock
Duke Ellington and His Orchestra	The Chronological Classics: 1950		Jazz
Eagles - Eagles	Hotel California	Hotel California	Rock
Eartha Kitt	Down to Eartha		Jazz
Ed Motta	Perpetual Gateways		Jazz
Eddie C. Campbell	Spider Eating Preacher		Blues
Either/Orchestra	Éthiopiques, Vol. 20: Live In Addis		World
Electric Light Orchestra	Out of the Blue		Rock
Electric Light Orchestra	Out of the Blue	Mr. Blue Sky	rock
